[1/5] Simulating event (seed=1)...
[2/5] Estimating mchirp_guess from the whitened-strain f^(-8/3) fit...
      mchirp_guess = 21.23844134253563
[3/5] Finding reference waveform (likelihood maximization; approximant=IMRPhenomXAS, prior_class=IntrinsicAlignedSpinIASPrior)...
Searching incoherent solution for GW1
Set intrinsic parameters, lnL = 21.844041792104274
Set time, lnL(L) = 14.406503253770035
Set sky location, lnL = 17.434110113046188
Set phase and distance, lnL = 17.434110113046188
Set mchirp_range = (np.float64(9.615868829851735), np.float64(97.08200823500712))
      reference-waveform fit SNR estimate: nan (expect ~24.8; ~3 would mean the minimize_scalar bug is present)
[4/5] Sampling the posterior (Nautilus, n_live=1000, n_eff=2000)...
Starting the nautilus sampler...
Please report issues at github.com/johannesulf/nautilus.
Status    | Bounds | Ellipses | Networks | Calls    | f_live | N_eff | log Z    
Sampling  | 3      | 1        | 4        | 3400     | 0.3427 | 3179  | -8.46    
Computing | 3      | 1        | 4        | 3400     | 0.3427 | 3179  | -8.46    
Sampling  | 3      | 1        | 4        | 3500     | 0.3246 | 3279  | -8.46    
Computing | 3      | 1        | 4        | 3500     | 0.3246 | 3279  | -8.46    
Sampling  | 3      | 1        | 4        | 3600     | 0.3079 | 3371  | -8.46    
Computing | 3      | 1        | 4        | 3600     | 0.3079 | 3371  | -8.46    
Sampling  | 3      | 1        | 4        | 3700     | 0.2907 | 3455  | -8.46    
Computing | 3      | 1        | 4        | 3700     | 0.2907 | 3455  | -8.46    
Sampling  | 3      | 1        | 4        | 3800     | 0.2760 | 3535  | -8.46    
Computing | 3      | 1        | 4        | 3800     | 0.2760 | 3535  | -8.46    
Sampling  | 3      | 1        | 4        | 3900     | 0.2637 | 3608  | -8.46    
Computing | 3      | 1        | 4        | 3900     | 0.2637 | 3608  | -8.46    
Sampling  | 3      | 1        | 4        | 4000     | 0.2522 | 3677  | -8.46    
Computing | 3      | 1        | 4        | 4000     | 0.2522 | 3677  | -8.46    
Sampling  | 3      | 1        | 4        | 4100     | 0.2418 | 3740  | -8.46    
Computing | 3      | 1        | 4        | 4100     | 0.2418 | 3740  | -8.46    
Sampling  | 3      | 1        | 4        | 4200     | 0.2321 | 3799  | -8.47    
Computing | 3      | 1        | 4        | 4200     | 0.2321 | 3799  | -8.47    
Sampling  | 3      | 1        | 4        | 4300     | 0.2240 | 3859  | -8.46    
Computing | 3      | 1        | 4        | 4300     | 0.2240 | 3859  | -8.46    
Bounding  | 3      | 1        | 4        | 4400     | 0.2161 | 3913  | -8.46    
Sampling  | 4      | 1        | 4        | 4400     | 0.2458 | 2832  | -8.74    
Computing | 4      | 1        | 4        | 4400     | 0.2458 | 2832  | -8.74    
Sampling  | 4      | 1        | 4        | 4500     | 0.2039 | 3979  | -8.46    
Computing | 4      | 1        | 4        | 4500     | 0.2039 | 3979  | -8.46    
Sampling  | 4      | 1        | 4        | 4600     | 0.1905 | 4027  | -8.47    
Computing | 4      | 1        | 4        | 4600     | 0.1905 | 4027  | -8.47    
Sampling  | 4      | 1        | 4        | 4700     | 0.1798 | 4074  | -8.47    
Computing | 4      | 1        | 4        | 4700     | 0.1798 | 4074  | -8.47    
Sampling  | 4      | 1        | 4        | 4800     | 0.1697 | 4112  | -8.47    
Computing | 4      | 1        | 4        | 4800     | 0.1697 | 4112  | -8.47    
Sampling  | 4      | 1        | 4        | 4900     | 0.1608 | 4151  | -8.47    
Computing | 4      | 1        | 4        | 4900     | 0.1608 | 4151  | -8.47    
Sampling  | 4      | 1        | 4        | 5000     | 0.1520 | 4178  | -8.47    
Computing | 4      | 1        | 4        | 5000     | 0.1520 | 4178  | -8.47    
Sampling  | 4      | 1        | 4        | 5100     | 0.1446 | 4208  | -8.47    
Computing | 4      | 1        | 4        | 5100     | 0.1446 | 4208  | -8.47    
Sampling  | 4      | 1        | 4        | 5200     | 0.1383 | 4236  | -8.47    
Computing | 4      | 1        | 4        | 5200     | 0.1383 | 4236  | -8.47    
Sampling  | 4      | 1        | 4        | 5300     | 0.1321 | 4258  | -8.47    
