[1/5] Simulating event (seed=0)...
[2/5] Estimating mchirp_guess from the whitened-strain f^(-8/3) fit...
      mchirp_guess = 21.23844134253563
[3/5] Finding reference waveform (likelihood maximization)...
Searching incoherent solution for GW0
Set intrinsic parameters, lnL = 207.4750145548004
Set time, lnL(H) = 118.07731869931102
Set sky location, lnL = 194.35292957472166
Set phase and distance, lnL = 194.35292957472166
Set mchirp_range = (np.float64(19.789622701763705), np.float64(117.35646182836352))
      reference-waveform fit SNR estimate: 18.67 (expect ~24.8; ~3 would mean the minimize_scalar bug is present)
[4/5] Sampling the posterior (Nautilus, n_live=1000, n_eff=2000)...
Starting the nautilus sampler...
Please report issues at github.com/johannesulf/nautilus.
Status    | Bounds | Ellipses | Networks | Calls    | f_live | N_eff | log Z    
Sampling  | 3      | 0        | 4        | 3500     | 1.0000 | 1     | +152.48  
Computing | 3      | 0        | 4        | 3500     | 1.0000 | 1     | +152.48  
Sampling  | 3      | 0        | 4        | 3600     | 1.0000 | 1     | +152.42  
Computing | 3      | 0        | 4        | 3600     | 1.0000 | 1     | +152.42  
Sampling  | 3      | 0        | 4        | 3700     | 1.0000 | 1     | +152.36  
Computing | 3      | 0        | 4        | 3700     | 1.0000 | 1     | +152.36  
Sampling  | 3      | 0        | 4        | 3800     | 1.0000 | 1     | +152.30  
Computing | 3      | 0        | 4        | 3800     | 1.0000 | 1     | +152.30  
Sampling  | 3      | 0        | 4        | 3900     | 1.0000 | 1     | +152.23  
Computing | 3      | 0        | 4        | 3900     | 1.0000 | 1     | +152.23  
Sampling  | 3      | 0        | 4        | 4000     | 1.0000 | 1     | +152.18  
Computing | 3      | 0        | 4        | 4000     | 1.0000 | 1     | +152.18  
Sampling  | 3      | 0        | 4        | 4100     | 1.0000 | 1     | +152.17  
Computing | 3      | 0        | 4        | 4100     | 1.0000 | 1     | +152.17  
Bounding  | 3      | 0        | 4        | 4200     | 1.0000 | 1     | +152.12  
Sampling  | 4      | 1        | 4        | 4200     | 1.0000 | 1     | +30.74   
Computing | 4      | 1        | 4        | 4200     | 1.0000 | 1     | +30.74   
Sampling  | 4      | 1        | 4        | 4300     | 1.0000 | 1     | +151.97  
Computing | 4      | 1        | 4        | 4300     | 1.0000 | 1     | +151.97  
Sampling  | 4      | 1        | 4        | 4400     | 1.0000 | 1     | +151.89  
Computing | 4      | 1        | 4        | 4400     | 1.0000 | 1     | +151.89  
Sampling  | 4      | 1        | 4        | 4500     | 1.0000 | 1     | +151.81  
Computing | 4      | 1        | 4        | 4500     | 1.0000 | 1     | +151.81  
Sampling  | 4      | 1        | 4        | 4600     | 1.0000 | 1     | +151.76  
Computing | 4      | 1        | 4        | 4600     | 1.0000 | 1     | +151.76  
Sampling  | 4      | 1        | 4        | 4700     | 1.0000 | 1     | +151.69  
Computing | 4      | 1        | 4        | 4700     | 1.0000 | 1     | +151.69  
Sampling  | 4      | 1        | 4        | 4800     | 1.0000 | 1     | +151.63  
Computing | 4      | 1        | 4        | 4800     | 1.0000 | 1     | +151.63  
Sampling  | 4      | 1        | 4        | 4900     | 1.0000 | 1     | +151.57  
Computing | 4      | 1        | 4        | 4900     | 1.0000 | 1     | +151.57  
Sampling  | 4      | 1        | 4        | 5000     | 1.0000 | 1     | +151.52  
Computing | 4      | 1        | 4        | 5000     | 1.0000 | 1     | +151.52  
Sampling  | 4      | 1        | 4        | 5100     | 1.0000 | 1     | +151.46  
Computing | 4      | 1        | 4        | 5100     | 1.0000 | 1     | +151.46  
Sampling  | 4      | 1        | 4        | 5200     | 1.0000 | 1     | +151.41  
Computing | 4      | 1        | 4        | 5200     | 1.0000 | 1     | +151.41  
Bounding  | 4      | 1        | 4        | 5300     | 1.0000 | 1     | +151.36  
Sampling  | 5      | 1        | 4        | 5300     | 1.0000 | 7     | +37.44   
Computing | 5      | 1        | 4        | 5300     | 1.0000 | 7     | +37.44   
Sampling  | 5      | 1        | 4        | 5400     | 1.0000 | 1     | +151.26  
Computing | 5      | 1        | 4        | 5400     | 1.0000 | 1     | +151.26  
Sampling  | 5      | 1        | 4        | 5500     | 1.0000 | 1     | +151.19  
Computing | 5      | 1        | 4        | 5500     | 1.0000 | 1     | +151.19  
Sampling  | 5      | 1        | 4        | 5600     | 1.0000 | 1     | +151.11  
Computing | 5      | 1        | 4        | 5600     | 1.0000 | 1     | +151.11  
Sampling  | 5      | 1        | 4        | 5700     | 1.0000 | 1     | +151.04  
Computing | 5      | 1        | 4        | 5700     | 1.0000 | 1     | +151.04  
Sampling  | 5      | 1        | 4        | 5800     | 1.0000 | 1     | +150.97  
Computing | 5      | 1        | 4        | 5800     | 1.0000 | 1     | +150.97  
Sampling  | 5      | 1        | 4        | 5900     | 1.0000 | 1     | +150.91  
Computing | 5      | 1        | 4        | 5900     | 1.0000 | 1     | +150.91  
Sampling  | 5      | 1        | 4        | 6000     | 1.0000 | 1     | +150.86  
Computing | 5      | 1        | 4        | 6000     | 1.0000 | 1     | +150.86  
Sampling  | 5      | 1        | 4        | 6100     | 1.0000 | 1     | +150.80  
Computing | 5      | 1        | 4        | 6100     | 1.0000 | 1     | +150.80  
Sampling  | 5      | 1        | 4        | 6200     | 1.0000 | 1     | +150.75  
Computing | 5      | 1        | 4        | 6200     | 1.0000 | 1     | +150.75  
Sampling  | 5      | 1        | 4        | 6300     | 1.0000 | 1     | +150.70  
Computing | 5      | 1        | 4        | 6300     | 1.0000 | 1     | +150.70  
Bounding  | 5      | 1        | 4        | 6400     | 1.0000 | 1     | +150.66  
Sampling  | 6      | 1        | 4        | 6400     | 1.0000 | 2     | +49.72   
Computing | 6      | 1        | 4        | 6400     | 1.0000 | 2     | +49.72   
Sampling  | 6      | 1        | 4        | 6500     | 1.0000 | 1     | +150.62  
Computing | 6      | 1        | 4        | 6500     | 1.0000 | 1     | +150.62  
Sampling  | 6      | 1        | 4        | 6600     | 1.0000 | 1     | +157.54  
Computing | 6      | 1        | 4        | 6600     | 1.0000 | 1     | +157.54  
Sampling  | 6      | 1        | 4        | 6700     | 1.0000 | 1     | +157.45  
Computing | 6      | 1        | 4        | 6700     | 1.0000 | 1     | +157.45  
Sampling  | 6      | 1        | 4        | 6800     | 1.0000 | 1     | +157.39  
Computing | 6      | 1        | 4        | 6800     | 1.0000 | 1     | +157.39  
Sampling  | 6      | 1        | 4        | 6900     | 1.0000 | 2     | +158.35  
Computing | 6      | 1        | 4        | 6900     | 1.0000 | 2     | +158.35  
Sampling  | 6      | 1        | 4        | 7000     | 1.0000 | 2     | +158.30  
Computing | 6      | 1        | 4        | 7000     | 1.0000 | 2     | +158.30  
Sampling  | 6      | 1        | 4        | 7100     | 1.0000 | 2     | +158.24  
Computing | 6      | 1        | 4        | 7100     | 1.0000 | 2     | +158.24  
Sampling  | 6      | 1        | 4        | 7200     | 1.0000 | 2     | +158.19  
Computing | 6      | 1        | 4        | 7200     | 1.0000 | 2     | +158.19  
Sampling  | 6      | 1        | 4        | 7300     | 1.0000 | 2     | +158.14  
Computing | 6      | 1        | 4        | 7300     | 1.0000 | 2     | +158.14  
Sampling  | 6      | 1        | 4        | 7400     | 1.0000 | 2     | +158.08  
Computing | 6      | 1        | 4        | 7400     | 1.0000 | 2     | +158.08  
Sampling  | 6      | 1        | 4        | 7500     | 1.0000 | 2     | +158.03  
Computing | 6      | 1        | 4        | 7500     | 1.0000 | 2     | +158.03  
Bounding  | 6      | 1        | 4        | 7600     | 1.0000 | 2     | +157.99  
Sampling  | 7      | 1        | 4        | 7600     | 1.0000 | 10    | +55.66   
Computing | 7      | 1        | 4        | 7600     | 1.0000 | 10    | +55.66   
Sampling  | 7      | 1        | 4        | 7700     | 1.0000 | 2     | +157.89  
